title,overall_rating,genres,language,seasons,episodes
Brass Eye,8.6,"Parody, Satire, Comedy",English,2,7
Alchemy of Souls,8.7,"Dark Fantasy, Fantasy Epic, Feel-Good Romance, Korean Drama, Sword & Sorcery, Action, Drama, Fantasy, Romance, Thriller",Korean,2,30
Schitt's Creek,8.5,"Satire, Sitcom, Comedy",English,6,80
Formula 1: Drive to Survive,8.5,"Docuseries, Motorsport, Sports Documentary, Documentary, Sport",English,7,61
Spartacus: Gods of the Arena,8.5,"Action Epic, Period Drama, Sword & Sandal, Action, Adventure, Biography, Drama, History, Romance",English,1,6
Trailer Park Boys,8.5,"Mockumentary, Raunchy Comedy, Sitcom, Stoner Comedy, Comedy, Crime",English,12,106
Neon Genesis Evangelion,8.5,"Action Epic, Adult Animation, Alien Invasion, Anime, Coming-of-Age, Cyberpunk, Dystopian Sci-Fi, Epic, Hand-Drawn Animation, Kaiju",Japanese,1,26
The Office UK,8.5,"Mockumentary, Satire, Sitcom, Comedy, Drama",English,3,202
Through the Wormhole,8.6,"Science & Technology Documentary, Documentary",English,7,62
Derry Girls,8.5,"Sitcom, Teen Comedy, Comedy",English,3,19
Twin Peaks,8.5,"Psychological Horror, Suspense Mystery, Crime, Drama, Horror, Mystery, Thriller",English,3,48
Louie,8.5,"Dark Comedy, Comedy, Drama",English,5,61
Sons of Anarchy,8.5,"Gangster, Crime, Drama, Thriller",English,7,92
Whose Line Is It Anyway?,8.5,"Sketch Comedy, Talent Competition, Comedy, Game Show",English,8,220
The Eric Andre Show,8.5,"Parody, Sketch Comedy, Comedy, Talk Show",English,6,68
Regular Show,8.5,"Adult Animation, Buddy Comedy, Hand-Drawn Animation, Sitcom, Action, Adventure, Animation, Comedy, Drama, Family",English,8,244
Spartacus,8.5,"Sword & Sandal, Action, Adventure, Biography, Drama, Romance",English,3,33
Mob Psycho 100,8.5,"Anime, Coming-of-Age, Shōnen, Superhero, Teen Fantasy, Action, Animation, Comedy, Drama, Fantasy",Japanese,3,37
Long Way Round,8.6,"Docuseries, Adventure, Documentary",English,1,10
Spaced,8.5,"Quirky Comedy, Sitcom, Comedy",English,2,14
Jujutsu Kaisen,8.5,"Adult Animation, Anime, Dark Fantasy, Shōnen, Supernatural Fantasy, Urban Adventure, Action, Adventure, Animation, Fantasy",Japanese,3,48
Happy Valley,8.5,"Cop Drama, Police Procedural, Crime, Drama, Thriller",English,3,18
Impractical Jokers,8.6,"Hidden Camera, Comedy, Reality TV",English,12,309
Samurai Jack,8.5,"Dark Fantasy, Hand-Drawn Animation, One-Person Army Action, Samurai, Time Travel, Action, Adventure, Animation, Drama, Fantasy",English,5,62
Detectorists,8.6,"Buddy Comedy, Sitcom, Comedy",English,3,20
I'm Alan Partridge,8.6,"Satire, Sitcom, Comedy",English,2,12
Mr. Robot,8.5,"Cyber Thriller, Psychological Drama, Psychological Thriller, Crime, Drama, Thriller",English,4,45
Ezel,8.6,"Crime, Drama, Thriller",Turkish,2,71
Yellowstone,8.6,"Contemporary Western, Epic, Western Epic, Drama, Western",English,5,53
Senke nad Balkanom,8.8,"Crime, Drama, Thriller",Serbian,2,20
Making a Murderer,8.5,"Crime Documentary, Docuseries, True Crime, Crime, Documentary",English,2,20
The Bear,8.5,"Psychological Drama, Workplace Drama, Comedy, Drama",English,4,29
